pupil,iris,ratio,label
19,47,2.4737,2
25,62,2.48,2
22,59,2.6818,2
22,60,2.7273,2
22,65,2.9545,2
21,52,2.4762,2
22,53,2.4091,2
22,53,2.4091,2
22,53,2.4091,2
24,47,1.9583,2
24,53,2.2083,2
25,62,2.48,2
25,62,2.48,2
25,64,2.56,2
25,63,2.52,2
26,63,2.4231,2
26,63,2.4231,2
26,62,2.3846,2
26,64,2.4615,2
26,62,2.3846,2
26,63,2.4231,2
25,51,2.04,2
22,56,2.5455,2
27,56,2.0741,2
23,57,2.4783,2
24,58,2.4167,2
28,60,2.1429,2
20,40,2,2
28,62,2.2143,2
18,38,2.1111,2
17,35,2.0588,2
29,65,2.2414,2
29,65,2.2414,2
29,66,2.2759,2
18,39,2.1667,2
29,65,2.2414,2
18,67,3.7222,2
29,66,2.2759,2
29,65,2.2414,2
27,65,2.4074,2
19,39,2.0526,2
25,62,2.48,2
25,60,2.4,2
25,56,2.24,2
25,56,2.24,2
25,57,2.28,2
26,55,2.1154,2
28,57,2.0357,2
26,56,2.1538,2
20,46,2.3,2
20,42,2.1,2
27,60,2.2222,2
27,59,2.1852,2
27,60,2.2222,2
25,61,2.44,2
25,60,2.4,2
19,39,2.0526,2
27,60,2.2222,2
18,35,1.9444,2
29,62,2.1379,2
28,62,2.2143,2
28,62,2.2143,2
28,62,2.2143,2
28,60,2.1429,2
21,60,2.8571,2
20,54,2.7,2
20,56,2.8,2
19,57,3,2
20,60,3,2
19,56,2.9474,2
19,56,2.9474,2
18,56,3.1111,2
19,56,2.9474,2
19,55,2.8947,2
18,56,3.1111,2
28,62,2.2143,2
28,62,2.2143,2
28,62,2.2143,2
21,50,2.381,2
22,51,2.3182,2
22,51,2.3182,2
23,53,2.3043,2
25,54,2.16,2
26,54,2.0769,2
20,49,2.45,2
24,52,2.1667,2
24,52,2.1667,2
24,51,2.125,2
24,52,2.1667,2
25,54,2.16,2
25,54,2.16,2
25,54,2.16,2
25,57,2.28,2
24,50,2.0833,2
23,54,2.3478,2
24,54,2.25,2
24,47,1.9583,2
23,46,2,2
24,47,1.9583,2
20,57,2.85,2
19,51,2.6842,2
21,52,2.4762,2
20,52,2.6,2
19,51,2.6842,2
28,58,2.0714,2
28,60,2.1429,2
28,59,2.1071,2
19,42,2.2105,2
29,59,2.0345,2
18,45,2.5,2
21,65,3.0952,2
22,51,2.3182,2
19,52,2.7368,2
19,40,2.1053,2
19,75,3.9474,2
23,60,2.6087,2
20,51,2.55,2
20,46,2.3,2
25,59,2.36,2
23,59,2.5652,2
19,41,2.1579,2
30,69,2.3,2
26,90,3.4615,2
29,70,2.4138,2
17,34,2,2
19,38,2,2
30,62,2.0667,2
27,64,2.3704,2
28,65,2.3214,2
18,36,2,2
19,39,2.0526,2
25,60,2.4,2
17,46,2.7059,2
25,62,2.48,2
24,60,2.5,2
23,60,2.6087,2
23,60,2.6087,2
24,57,2.375,2
25,60,2.4,2
28,59,2.1071,2
17,46,2.7059,2
18,48,2.6667,2
19,46,2.4211,2
27,53,1.963,2
27,54,2,2
25,56,2.24,2
21,56,2.6667,2
27,62,2.2963,2
26,62,2.3846,2
26,63,2.4231,2
26,62,2.3846,2
25,62,2.48,2
27,66,2.4444,2
26,59,2.2692,2
27,60,2.2222,2
28,61,2.1786,2
26,53,2.0385,2
25,55,2.2,2
25,54,2.16,2
24,51,2.125,2
24,54,2.25,2
26,54,2.0769,2
29,60,2.069,2
29,61,2.1034,2
29,60,2.069,2
29,60,2.069,2
26,56,2.1538,2
25,54,2.16,2
26,55,2.1154,2
29,60,2.069,2
28,57,2.0357,2
26,54,2.0769,2
27,57,2.1111,2
30,62,2.0667,2
29,62,2.1379,2
29,60,2.069,2
24,60,2.5,2
24,59,2.4583,2
20,57,2.85,2
23,58,2.5217,2
23,60,2.6087,2
23,60,2.6087,2
23,60,2.6087,2
23,60,2.6087,2
23,62,2.6957,2
24,64,2.6667,2
18,46,2.5556,2
25,60,2.4,2
19,42,2.2105,2
18,40,2.2222,2
19,49,2.5789,2
19,37,1.9474,2
18,36,2,2
21,71,3.381,2
21,71,3.381,2
18,37,2.0556,2
24,60,2.5,2
24,60,2.5,2
30,62,2.0667,2
30,62,2.0667,2
30,62,2.0667,2
30,62,2.0667,2
26,62,2.3846,2
25,61,2.44,2
29,61,2.1034,2
29,62,2.1379,2
30,66,2.2,2
19,39,2.0526,2
19,38,2,2
30,67,2.2333,2
19,38,2,2
29,56,1.931,2
29,57,1.9655,2
30,64,2.1333,2
30,64,2.1333,2
30,64,2.1333,2
18,47,2.6111,2
19,49,2.5789,2
20,54,2.7,2
21,54,2.5714,2
21,54,2.5714,2
25,50,2,2
26,54,2.0769,2
24,53,2.2083,2
26,53,2.0385,2
26,54,2.0769,2
26,54,2.0769,2
22,51,2.3182,2
22,51,2.3182,2
20,71,3.55,2
21,46,2.1905,2
19,40,2.1053,2
20,46,2.3,2
23,51,2.2174,2
23,51,2.2174,2
18,44,2.4444,2
24,57,2.375,2
26,54,2.0769,2
24,54,2.25,2
23,54,2.3478,2
23,54,2.3478,2
23,53,2.3043,2
23,51,2.2174,2
23,51,2.2174,2
24,53,2.2083,2
24,53,2.2083,2
30,66,2.2,2
29,64,2.2069,2
28,63,2.25,2
18,54,3,2
19,54,2.8421,2
19,53,2.7895,2
17,53,3.1176,2
19,53,2.7895,2
19,51,2.6842,2
18,51,2.8333,2
20,51,2.55,2
20,52,2.6,2
21,53,2.5238,2
23,54,2.3478,2
22,55,2.5,2
23,54,2.3478,2
27,54,2,2
27,54,2,2
27,53,1.963,2
24,52,2.1667,2
25,52,2.08,2
25,52,2.08,2
25,52,2.08,2
28,56,2,2
28,56,2,2
29,57,1.9655,2
28,55,1.9643,2
29,57,1.9655,2
28,55,1.9643,2
29,56,1.931,2
29,56,1.931,2
29,62,2.1379,2
18,51,2.8333,2
17,49,2.8824,2
17,49,2.8824,2
19,56,2.9474,2
19,39,2.0526,2
22,49,2.2273,2
29,57,1.9655,2
30,65,2.1667,2
30,65,2.1667,2
26,57,2.1923,2
26,58,2.2308,2
28,57,2.0357,2
26,56,2.1538,2
26,56,2.1538,2
27,57,2.1111,2
28,60,2.1429,2
28,59,2.1071,2
28,62,2.2143,2
29,62,2.1379,2
30,64,2.1333,2
22,65,2.9545,2
22,67,3.0455,2
22,67,3.0455,2
22,67,3.0455,2
22,67,3.0455,2
23,67,2.913,2
23,67,2.913,2
24,70,2.9167,2
24,69,2.875,2
26,71,2.7308,2
26,71,2.7308,2
26,71,2.7308,2
25,70,2.8,2
26,71,2.7308,2
24,69,2.875,2
24,69,2.875,2
25,68,2.72,2
27,56,2.0741,2
26,57,2.1923,2
25,57,2.28,2
28,62,2.2143,2
29,61,2.1034,2
30,62,2.0667,2
29,56,1.931,2
29,57,1.9655,2
29,57,1.9655,2
22,65,2.9545,2
22,67,3.0455,2
20,65,3.25,2
20,65,3.25,2
19,63,3.3158,2
19,65,3.4211,2
19,65,3.4211,2
19,65,3.4211,2
20,63,3.15,2
19,63,3.3158,2
24,56,2.3333,2
27,57,2.1111,2
28,64,2.2857,2
17,45,2.6471,2
19,49,2.5789,2
28,62,2.2143,2
25,58,2.32,2
27,54,2,2
27,60,2.2222,2
26,61,2.3462,2
29,57,1.9655,2
29,57,1.9655,2
29,57,1.9655,2
29,56,1.931,2
29,56,1.931,2
29,56,1.931,2
19,38,2,2
28,54,1.9286,2
30,59,1.9667,2
29,57,1.9655,2
29,63,2.1724,2
29,62,2.1379,2
29,62,2.1379,2
20,42,2.1,2
19,38,2,2
23,51,2.2174,2
20,52,2.6,2
20,52,2.6,2
24,49,2.0417,2
29,60,2.069,2
29,60,2.069,2
30,60,2,2
30,60,2,2
30,59,1.9667,2
29,60,2.069,2
29,60,2.069,2
26,73,2.8077,2
26,73,2.8077,2
23,51,2.2174,2
30,62,2.0667,2
29,65,2.2414,2
30,59,1.9667,2
25,60,2.4,2
25,58,2.32,2
25,60,2.4,2
25,58,2.32,2
25,52,2.08,2
25,52,2.08,2
25,50,2,2
27,53,1.963,2
28,54,1.9286,2
28,54,1.9286,2
24,51,2.125,2
24,52,2.1667,2
25,52,2.08,2
25,53,2.12,2
22,51,2.3182,2
22,51,2.3182,2
22,51,2.3182,2
22,51,2.3182,2
23,51,2.2174,2
23,51,2.2174,2
25,57,2.28,2
26,59,2.2692,2
27,60,2.2222,2
29,66,2.2759,2
30,66,2.2,2
21,43,2.0476,2
20,43,2.15,2
30,66,2.2,2
30,66,2.2,2
29,66,2.2759,2
25,60,2.4,2
30,65,2.1667,2
29,65,2.2414,2
24,65,2.7083,2
25,65,2.6,2
25,66,2.64,2
22,54,2.4545,2
19,40,2.1053,2
18,40,2.2222,2
29,66,2.2759,2
29,66,2.2759,2
19,51,2.6842,2
22,51,2.3182,2
28,64,2.2857,2
26,57,2.1923,2
29,63,2.1724,2
