pupil,iris,ratio,label
19,39,2.0526,2
18,62,3.4444,2
19,38,2,2
17,49,2.8824,2
27,66,2.4444,2
26,67,2.5769,2
26,66,2.5385,2
26,61,2.3462,2
20,62,3.1,2
21,63,3,2
20,63,3.15,2
19,60,3.1579,2
23,53,2.3043,2
27,53,1.963,2
17,63,3.7059,2
19,59,3.1053,2
20,41,2.05,2
17,62,3.6471,2
18,36,2,2
30,69,2.3,2
18,38,2.1111,2
20,42,2.1,2
28,66,2.3571,2
29,66,2.2759,2
25,57,2.28,2
22,57,2.5909,2
22,56,2.5455,2
26,56,2.1538,2
21,56,2.6667,2
21,56,2.6667,2
23,57,2.4783,2
24,58,2.4167,2
24,58,2.4167,2
23,58,2.5217,2
23,58,2.5217,2
23,57,2.4783,2
25,63,2.52,2
25,62,2.48,2
25,62,2.48,2
19,56,2.9474,2
17,33,1.9412,2
17,33,1.9412,2
25,60,2.4,2
25,52,2.08,2
24,53,2.2083,2
25,54,2.16,2
18,36,2,2
28,56,2,2
28,63,2.25,2
25,60,2.4,2
25,60,2.4,2
25,60,2.4,2
28,58,2.0714,2
18,59,3.2778,2
20,59,2.95,2
21,59,2.8095,2
22,60,2.7273,2
22,60,2.7273,2
20,44,2.2,2
18,45,2.5,2
18,35,1.9444,2
20,42,2.1,2
18,58,3.2222,2
22,54,2.4545,2
22,57,2.5909,2
27,59,2.1852,2
28,62,2.2143,2
28,61,2.1786,2
24,51,2.125,2
26,53,2.0385,2
26,52,2,2
26,53,2.0385,2
26,52,2,2
26,53,2.0385,2
17,33,1.9412,2
17,33,1.9412,2
28,56,2,2
26,54,2.0769,2
28,58,2.0714,2
27,58,2.1481,2
28,57,2.0357,2
23,58,2.5217,2
22,58,2.6364,2
22,58,2.6364,2
27,57,2.1111,2
26,56,2.1538,2
25,54,2.16,2
25,54,2.16,2
25,54,2.16,2
25,54,2.16,2
26,56,2.1538,2
26,57,2.1923,2
26,58,2.2308,2
17,39,2.2941,2
27,60,2.2222,2
26,58,2.2308,2
20,49,2.45,2
17,44,2.5882,2
25,62,2.48,2
17,42,2.4706,2
17,42,2.4706,2
17,42,2.4706,2
18,42,2.3333,2
21,61,2.9048,2
20,62,3.1,2
21,60,2.8571,2
21,61,2.9048,2
20,60,3,2
21,60,2.8571,2
21,61,2.9048,2
18,42,2.3333,2
21,61,2.9048,2
22,62,2.8182,2
20,41,2.05,2
18,54,3,2
17,52,3.0588,2
17,49,2.8824,2
18,51,2.8333,2
20,60,3,2
20,60,3,2
19,52,2.7368,2
18,51,2.8333,2
20,62,3.1,2
24,62,2.5833,2
24,61,2.5417,2
17,57,3.3529,2
17,56,3.2941,2
18,56,3.1111,2
24,56,2.3333,2
23,58,2.5217,2
24,62,2.5833,2
24,63,2.625,2
24,63,2.625,2
23,63,2.7391,2
22,62,2.8182,2
19,50,2.6316,2
19,51,2.6842,2
21,55,2.619,2
19,52,2.7368,2
20,53,2.65,2
21,54,2.5714,2
26,54,2.0769,2
21,54,2.5714,2
22,56,2.5455,2
22,56,2.5455,2
22,56,2.5455,2
22,56,2.5455,2
22,56,2.5455,2
20,56,2.8,2
20,55,2.75,2
20,56,2.8,2
20,56,2.8,2
22,62,2.8182,2
23,62,2.6957,2
23,62,2.6957,2
23,62,2.6957,2
23,62,2.6957,2
23,62,2.6957,2
25,57,2.28,2
26,60,2.3077,2
26,59,2.2692,2
18,54,3,2
18,53,2.9444,2
18,55,3.0556,2
18,58,3.2222,2
20,51,2.55,2
18,51,2.8333,2
19,54,2.8421,2
19,51,2.6842,2
18,51,2.8333,2
18,46,2.5556,2
25,60,2.4,2
27,63,2.3333,2
26,62,2.3846,2
25,65,2.6,2
25,66,2.64,2
25,66,2.64,2
25,66,2.64,2
25,66,2.64,2
26,67,2.5769,2
26,67,2.5769,2
26,68,2.6154,2
26,68,2.6154,2
26,68,2.6154,2
25,63,2.52,2
25,64,2.56,2
24,65,2.7083,2
24,65,2.7083,2
25,69,2.76,2
23,65,2.8261,2
24,64,2.6667,2
21,65,3.0952,2
21,66,3.1429,2
26,67,2.5769,2
18,75,4.1667,2
18,69,3.8333,2
27,60,2.2222,2
23,60,2.6087,2
23,60,2.6087,2
17,70,4.1176,2
18,71,3.9444,2
23,62,2.6957,2
24,62,2.5833,2
24,62,2.5833,2
23,60,2.6087,2
25,64,2.56,2
25,64,2.56,2
23,59,2.5652,2
22,52,2.3636,2
18,37,2.0556,2
20,52,2.6,2
19,39,2.0526,2
25,60,2.4,2
20,40,2,2
20,42,2.1,2
22,43,1.9545,2
22,45,2.0455,2
20,46,2.3,2
20,47,2.35,2
26,63,2.4231,2
29,72,2.4828,2
29,71,2.4483,2
21,43,2.0476,2
18,49,2.7222,2
18,35,1.9444,2
19,50,2.6316,2
28,57,2.0357,2
20,57,2.85,2
18,78,4.3333,2
20,47,2.35,2
18,38,2.1111,2
29,58,2,2
20,56,2.8,2
22,54,2.4545,2
18,40,2.2222,2
23,54,2.3478,2
18,36,2,2
25,56,2.24,2
21,60,2.8571,2
18,42,2.3333,2
18,43,2.3889,2
19,41,2.1579,2
19,40,2.1053,2
19,78,4.1053,2
18,83,4.6111,2
21,51,2.4286,2
25,50,2,2
23,53,2.3043,2
22,54,2.4545,2
21,54,2.5714,2
21,54,2.5714,2
24,53,2.2083,2
26,54,2.0769,2
21,57,2.7143,2
19,54,2.8421,2
26,51,1.9615,2
19,57,3,2
18,57,3.1667,2
19,57,3,2
18,58,3.2222,2
20,57,2.85,2
18,54,3,2
20,57,2.85,2
